Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
92                            0.5                           282                           12420                         1                             0.05836749076843262
92                            0.75                          534                           276256                        1                             2.1057446002960205
93                            0.125                         152                           407                           1                             0.0024406909942626953
93                            0.25                          192                           1096                          1                             0.005326032638549805
93                            0.5                           305                           10031                         1                             0.04895520210266113
93                            0.75                          548                           258365                        1                             1.9301893711090088
94                            0.125                         174                           395                           1                             0.002578258514404297
94                            0.25                          179                           1226                          1                             0.005825996398925781
94                            0.5                           329                           9492                          1                             0.05194544792175293
94                            0.75                          554                           325442                        1                             2.5388004779815674
95                            0.125                         153                           431                           1                             0.002664327621459961
95                            0.25                          195                           1139                          1                             0.0057566165924072266
95                            0.5                           319                           11249                         1                             0.0571444034576416
95                            0.75                          522                           376122                        1                             2.7896528244018555
96                            0.125                         133                           474                           1                             0.0027489662170410156
96                            0.25                          187                           1294                          1                             0.006281137466430664
96                            0.5                           287                           15197                         1                             0.07288670539855957
96                            0.75                          523                           401908                        1                             3.143610715866089
97                            0.125                         179                           409                           1                             0.0027344226837158203
97                            0.25                          204                           1225                          1                             0.0062906742095947266
97                            0.5                           316                           12043                         1                             0.06351947784423828
97                            0.75                          548                           383930                        1                             3.059460163116455
98                            0.125                         145                           524                           1                             0.002932310104370117
98                            0.25                          181                           1467                          1                             0.006735563278198242
98                            0.5                           327                           12300                         1                             0.06396031379699707
98                            0.75                          546                           440229                        1                             3.5114552974700928
99                            0.125                         158                           481                           1                             0.0029408931732177734
99                            0.25                          186                           1461                          1                             0.006811380386352539
99                            0.5                           302                           14784                         1                             0.07587432861328125
99                            0.75                          540                           552317                        1                             4.166266679763794
100                           0.125                         139                           532                           1                             0.0032820701599121094
100                           0.25                          181                           1534                          1                             0.007282733917236328
100                           0.5                           328                           13475                         1                             0.07204747200012207
100                           0.75                          545                           519381                        1                             4.176239728927612
101                           0.125                         144                           531                           1                             0.0030927658081054688
101                           0.25                          193                           1463                          1                             0.007212400436401367
101                           0.5                           328                           13883                         1                             0.07368040084838867
101                           0.75                          543                           535273                        1                             4.080176115036011
102                           0.125                         168                           496                           1                             0.0031843185424804688
102                           0.25                          214                           1368                          1                             0.007199287414550781
102                           0.5                           318                           17229                         1                             0.08732104301452637
102                           0.75                          572                           589668                        1                             4.929253578186035
103                           0.125                         174                           482                           1                             0.0032007694244384766
103                           0.25                          192                           1452                          1                             0.007666349411010742
103                           0.5                           307                           17767                         1                             0.09185338020324707
103                           0.75                          608                           467087                        1                             4.108691692352295
104                           0.125                         136                           594                           1                             0.0034050941467285156
104                           0.25                          181                           1888                          1                             0.00981450080871582
104                           0.5                           340                           16286                         1                             0.09218287467956543
104                           0.75                          529                           1314537                       1                             10.053564071655273
105                           0.125                         156                           572                           1                             0.003478527069091797
105                           0.25                          188                           1727                          1                             0.008630037307739258
105                           0.5                           356                           15819                         1                             0.08987069129943848
105                           0.75                          547                           1058694                       1                             8.414031028747559
106                           0.125                         153                           574                           1                             0.003598451614379883
106                           0.25                          213                           1596                          1                             0.0084686279296875
106                           0.5                           315                           18513                         1                             0.0985105037689209
106                           0.75                          563                           800133                        1                             6.284285545349121
107                           0.125                         151                           623                           1                             0.0036766529083251953
107                           0.25                          221                           1539                          1                             0.008650779724121094
107                           0.5                           358                           17153                         1                             0.09887933731079102
107                           0.75                          588                           716641                        1                             6.269298315048218
108                           0.125                         174                           543                           1                             0.0034799575805664062
108                           0.25                          186                           1906                          1                             0.009081125259399414
108                           0.5                           366                           18256                         1                             0.10080766677856445
108                           0.75                          595                           953312                        1                             7.76976466178894
109                           0.125                         142                           671                           1                             0.003790140151977539
109                           0.25                          199                           2050                          1                             0.009946107864379883
109                           0.5                           328                           23828                         1                             0.11880159378051758
109                           0.75                          547                           1192595                       1                             8.940106391906738
110                           0.125                         147                           629                           1                             0.0037751197814941406
110                           0.25                          186                           2057                          1                             0.009747982025146484
